master_id,name_ja,etype_id,etype_en,name_en,name_tw,in_wiki_list
1,12cm単装砲,1,Small Caliber Main Gun,12cm Single Gun Mount,12cm單裝砲,1
2,12.7cm連装砲,1,Small Caliber Main Gun,12.7cm Twin Gun Mount,12.7cm連裝砲,1
3,10cm連装高角砲,16,Small Caliber Main Gun,10cm Twin High-angle Gun Mount,10cm連裝高角砲,1
4,14cm単装砲,2,Medium Caliber Main Gun,14cm Single Gun Mount,14cm單裝砲,1
5,15.5cm三連装砲,2,Medium Caliber Main Gun,15.5cm Triple Gun Mount,15.5cm三連裝砲,1
6,20.3cm連装砲,2,Medium Caliber Main Gun,20.3cm Twin Gun Mount,20.3cm連裝砲,1
7,35.6cm連装砲,3,Large Caliber Main Gun,35.6cm Twin Gun Mount,35.6cm連裝砲,1
8,41cm連装砲,3,Large Caliber Main Gun,41cm Twin Gun Mount,41cm連裝砲,1
9,46cm三連装砲,3,Large Caliber Main Gun,46cm Triple Gun Mount,46cm三連裝砲,1
10,12.7cm連装高角砲,16,Secondary Gun,12.7cm Twin High-angle Gun Mount,12.7cm連裝高角砲,1
11,15.2cm単装砲,4,Secondary Gun,15.2cm Single Gun Mount,15.2cm單裝砲,1
12,15.5cm三連装副砲,4,Secondary Gun,15.5cm Triple Secondary Gun Mount,15.5cm三連裝副砲,1
13,61cm三連装魚雷,5,Torpedo,61cm Triple Torpedo Mount,61cm三連裝魚雷,1
14,61cm四連装魚雷,5,Torpedo,61cm Quadruple Torpedo Mount,61cm四連裝魚雷,1
15,61cm四連装(酸素)魚雷,5,Torpedo,61cm Quadruple (Oxygen) Torpedo Mount,61cm四連裝(酸素)魚雷,1
16,九七式艦攻,8,Carrier-based Torpedo Bomber,Type 97 Torpedo Bomber,九七式艦攻,1
17,天山,8,Carrier-based Torpedo Bomber,Tenzan,天山,1
18,流星,8,Carrier-based Torpedo Bomber,Ryuusei,流星,1
19,九六式艦戦,6,Carrier-based Fighter,Type 96 Fighter,九六式艦戰,1
20,零式艦戦21型,6,Carrier-based Fighter,Type 0 Fighter Model 21,零式艦戰21型,1
21,零式艦戦52型,6,Carrier-based Fighter,Type 0 Fighter Model 52,零式艦戰52型,1
22,試製烈風 後期型,6,Carrier-based Fighter,Prototype Reppuu Late Model,試製烈風 後期型,1
23,九九式艦爆,7,Carrier-based Dive Bomber,Type 99 Dive Bomber,九九式艦爆,1
24,彗星,7,Carrier-based Dive Bomber,Suisei,彗星,1
25,零式水上偵察機,10,Reconnaissance Seaplane,Type 0 Reconnaissance Seaplane,零式水上偵察機,1
26,瑞雲,10,Seaplane Bomber,Zuiun,瑞雲,1
27,13号対空電探,11,Small Radar,Type 13 Air Radar,13號對空電探,1
28,22号対水上電探,11,Small Radar,Type 22 Surface Radar,22號對水上電探,1
29,33号対水上電探,11,Small Radar,Type 33 Surface Radar,33號對水上電探,1
30,21号対空電探,11,Large Radar,Type 21 Air Radar,21號對空電探,1
31,32号対水上電探,11,Large Radar,Type 32 Surface Radar,32號對水上電探,1
32,42号対空電探,11,Large Radar,Type 42 Air Radar,42號對空電探,1
33,改良型艦本式タービン,19,Engine Improvement,Improved Kanhon Type Turbine,,1
34,強化型艦本式缶,19,Engine Improvement,Enhanced Kanhon Type Boiler,強化型艦本式罐,1
35,三式弾,12,Anti-Aircraft Shell,Type 3 Shell,三式彈,1
36,九一式徹甲弾,13,Armor Piercing Shell,Type 91 Armor Piercing Shell,九一式徹甲彈,1
37,7.7mm機銃,15,Anti-Aircraft Gun,7.7mm Machine Gun,7.7mm機銃,1
38,12.7mm単装機銃,15,Anti-Aircraft Gun,12.7mm Single Machine Gun Mount,12.7mm單裝機銃,1
39,25mm連装機銃,15,Anti-Aircraft Gun,25mm Twin Autocannon Mount,25mm連裝機銃,1
40,25mm三連装機銃,15,Anti-Aircraft Gun,25mm Triple Autocannon Mount,25mm三連裝機銃,1
41,甲標的 甲型,5,Midget Submarine,Type A Kouhyouteki,甲標的 甲型,1
42,応急修理要員,14,Emergency Repair Personnel,Emergency Repair Personnel,應急修理要員,1
43,応急修理女神,14,Emergency Repair Personnel,Emergency Repair Goddess,應急修理女神,1
44,九四式爆雷投射機,17,Depth Charge,Type 94 Depth Charge Projector,九四式爆雷投射機,1
45,三式爆雷投射機,17,Depth Charge,Type 3 Depth Charge Projector,三式爆雷投射機,1
46,九三式水中聴音機,18,Small Sonar,Type 93 Passive Sonar,九三式水中聽音機,1
47,三式水中探信儀,18,Small Sonar,Type 3 Active Sonar,三式水中探信儀,1
48,12cm単装高角砲,16,Small Caliber Main Gun,12cm Single High-angle Gun Mount,12cm單裝高角砲,1
49,25mm単装機銃,15,Anti-Aircraft Gun,25mm Single Autocannon Mount,25mm單裝機銃,1
50,20.3cm(3号)連装砲,2,Medium Caliber Main Gun,20.3cm (No.3) Twin Gun Mount,20.3cm(3號)連裝砲,1
51,12cm30連装噴進砲,15,Anti-Aircraft Gun,12cm 30-tube Rocket Launcher,12cm30連裝噴進砲,1
52,流星改,8,Carrier-based Torpedo Bomber,Ryuusei Kai,流星改,1
53,烈風 一一型,6,Carrier-based Fighter,Reppuu Model 11,烈風 一一型,1
54,彩雲,9,Carrier-based Reconnaissance Aircraft,Saiun,彩雲,1
55,紫電改二,6,Carrier-based Fighter,Shiden Kai 2,紫電改二,1
56,震電改,6,Carrier-based Fighter,Shinden Kai,震電改,1
57,彗星一二型甲,7,Carrier-based Dive Bomber,Suisei Model 12A,彗星一二型甲,1
58,61cm五連装(酸素)魚雷,5,Torpedo,61cm Quintuple (Oxygen) Torpedo Mount,61cm五連裝(酸素)魚雷,1
59,零式水上観測機,10,Reconnaissance Seaplane,Type 0 Observation Seaplane,零式水上觀測機,1
60,零式艦戦62型(爆戦),7,Carrier-based Dive Bomber,Type 0 Fighter Model 62 (Fighter-bomber),零式艦戰62型(爆戰),1
61,二式艦上偵察機,9,Carrier-based Reconnaissance Aircraft,Type 2 Reconnaissance Aircraft,二式艦上偵察機,1
62,試製晴嵐,10,Seaplane Bomber,Prototype Seiran,試製晴嵐,1
63,12.7cm連装砲B型改二,1,Small Caliber Main Gun,12.7cm Twin Gun Mount Model B Kai 2,12.7cm連裝砲B型改二,1
64,Ju87C改,7,Carrier-based Dive Bomber,Ju 87C Kai,Ju87C改,1
65,15.2cm連装砲,2,Medium Caliber Main Gun,15.2cm Twin Gun Mount,15.2cm連裝砲,1
66,8cm高角砲,16,Secondary Gun,8cm High-angle Gun,8cm高角砲,1
67,53cm艦首(酸素)魚雷,5,Torpedo,53cm Bow (Oxygen) Torpedo Mount,53cm艦首(酸素)魚雷,1
68,大発動艇,20,Landing Craft,Daihatsu Landing Craft,大發動艇,1
69,カ号観測機,21,Rotorcraft,Ka Type Observation Autogyro,,1
70,三式指揮連絡機(対潜),22,Anti-submarine Patrol Aircraft,Type 3 Command Liaison Aircraft (ASW),三式指揮聯絡機(對潛),1
71,10cm連装高角砲(砲架),16,Secondary Gun,10cm Twin High-angle Gun Mount (Carriage),10cm連裝高角砲(砲架),1
72,増設バルジ(中型艦),23,Extra Armor (Medium),Anti-torpedo Bulge (Medium),,1
73,増設バルジ(大型艦),23,Extra Armor (Large),Anti-torpedo Bulge (Large),,1
74,探照灯,24,Small Searchlight,Searchlight,探照燈,1
75,ドラム缶(輸送用),25,Supply Transport Container,Drum Canister (Transport Use),,1
76,38cm連装砲,3,Large Caliber Main Gun,38cm Twin Gun Mount,38cm連裝砲,1
77,15cm連装副砲,4,Secondary Gun,15cm Twin Secondary Gun Mount,15cm連裝副砲,1
78,12.7cm単装砲,1,Small Caliber Main Gun,12.7cm Single Gun Mount,12.7cm單裝砲,1
79,瑞雲(六三四空),10,Seaplane Bomber,Zuiun (634 Air Group),瑞雲(六三四空),1
80,瑞雲12型,10,Seaplane Bomber,Zuiun Model 12,瑞雲12型,1
81,瑞雲12型(六三四空),10,Seaplane Bomber,Zuiun Model 12 (634 Air Group),瑞雲12型(六三四空),1
82,九七式艦攻(九三一空),8,Carrier-based Torpedo Bomber,Type 97 Torpedo Bomber (931 Air Group),九七式艦攻(九三一空),1
83,天山(九三一空),8,Carrier-based Torpedo Bomber,Tenzan (931 Air Group),天山(九三一空),1
84,2cm 四連装FlaK 38,15,Anti-Aircraft Gun,2cm Flakvierling 38,2cm 四連裝FlaK 38,1
85,3.7cm FlaK M42,15,Anti-Aircraft Gun,3.7cm FlaK M42,3.7cm FlaK M42,1
86,艦艇修理施設,26,Ship Repair Facility,Ship Repair Facility,艦艇修理施設,1
87,新型高温高圧缶,19,Engine Improvement,New Model High Temperature High Pressure Boiler,新型高溫高壓罐,1
88,22号対水上電探改四,11,Small Radar,Type 22 Surface Radar Kai 4,22號對水上電探改四,1
89,21号対空電探改,11,Large Radar,Type 21 Air Radar Kai,21號對空電探改,1
90,20.3cm(2号)連装砲,2,Medium Caliber Main Gun,20.3cm (No.2) Twin Gun Mount,20.3cm(2號)連裝砲,1
91,12.7cm連装高角砲(後期型),16,Small Caliber Main Gun,12.7cm Twin High-angle Gun Mount (Late Model),12.7cm連裝高角砲(後期型),1
92,毘式40mm連装機銃,15,Anti-Aircraft Gun,Bi Type 40mm Twin Autocannon Mount,毘式40mm連裝機銃,1
93,九七式艦攻(友永隊),8,Carrier-based Torpedo Bomber,Type 97 Torpedo Bomber (Tomonaga Squadron),九七式艦攻(友永隊),1
94,天山一二型(友永隊),8,Carrier-based Torpedo Bomber,Tenzan Model 12 (Tomonaga Squadron),天山一二型(友永隊),1
95,潜水艦53cm艦首魚雷(8門),5,Submarine Torpedo,Submarine 53cm Bow Torpedo Mount (8 tubes),潛水艦53cm艦首魚雷(8門),1
96,零式艦戦21型(熟練),6,Carrier-based Fighter,Type 0 Fighter Model 21 (Skilled),零式艦戰21型(熟練),1
97,九九式艦爆(熟練),7,Carrier-based Dive Bomber,Type 99 Dive Bomber (Skilled),九九式艦爆(熟練),1
98,九七式艦攻(熟練),8,Carrier-based Torpedo Bomber,Type 97 Torpedo Bomber (Skilled),九七式艦攻(熟練),1
99,九九式艦爆(江草隊),7,Carrier-based Dive Bomber,Type 99 Dive Bomber (Egusa Squadron),九九式艦爆(江草隊),1
100,彗星(江草隊),7,Carrier-based Dive Bomber,Suisei (Egusa Squadron),彗星(江草隊),1
101,照明弾,27,Star Shell,Star Shell,照明彈,1
102,九八式水上偵察機(夜偵),50,Reconnaissance Seaplane,Type 98 Reconnaissance Seaplane (Night Recon),九八式水上偵察機(夜偵),1
103,試製35.6cm三連装砲,3,Large Caliber Main Gun,Prototype 35.6cm Triple Gun Mount,試製35.6cm三連裝砲,1
104,35.6cm連装砲(ダズル迷彩),3,Large Caliber Main Gun,35.6cm Twin Gun Mount (Dazzle Camouflage),,1
105,試製41cm三連装砲,3,Large Caliber Main Gun,Prototype 41cm Triple Gun Mount,試製41cm三連裝砲,1
106,13号対空電探改,11,Small Radar,Type 13 Air Radar Kai,13號對空電探改,1
107,艦隊司令部施設,28,Command Facility,Fleet Command Facility,艦隊司令部施設,1
108,熟練艦載機整備員,29,Aviation Personnel,Skilled Carrier-based Aircraft Maintenance Personnel,熟練艦載機整備員,1
109,零戦52型丙(六〇一空),6,Carrier-based Fighter,Zero Fighter Model 52C (601 Air Group),零戰52型丙(六〇一空),1
110,烈風(六〇一空),6,Carrier-based Fighter,Reppuu (601 Air Group),烈風(六〇一空),1
111,彗星(六〇一空),7,Carrier-based Dive Bomber,Suisei (601 Air Group),彗星(六〇一空),1
112,天山(六〇一空),8,Carrier-based Torpedo Bomber,Tenzan (601 Air Group),天山(六〇一空),1
113,流星(六〇一空),8,Carrier-based Torpedo Bomber,Ryuusei (601 Air Group),流星(六〇一空),1
114,38cm連装砲改,3,Large Caliber Main Gun,38cm Twin Gun Mount Kai,38cm連裝砲改,1
115,Ar196改,10,Reconnaissance Seaplane,Ar196 Kai,Ar196改,1
116,一式徹甲弾,13,Armor Piercing Shell,Type 1 Armor Piercing Shell,一式徹甲彈,1
117,試製46cm連装砲,3,Large Caliber Main Gun,Prototype 46cm Twin Gun Mount,試製46cm連裝砲,1
118,紫雲,10,Reconnaissance Seaplane,Shiun,紫雲,1
119,14cm連装砲,2,Medium Caliber Main Gun,14cm Twin Gun Mount,14cm連裝砲,1
120,91式高射装置,30,Anti-Aircraft Fire Director,Type 91 Anti-Aircraft Fire Director,91式高射裝置,1
121,94式高射装置,30,Anti-Aircraft Fire Director,Type 94 Anti-Aircraft Fire Director,94式高射裝置,1
122,10cm連装高角砲+高射装置,16,Small Caliber Main Gun,10cm Twin High-angle Gun Mount + Anti-Aircraft Fire Director,10cm連裝高角砲+高射裝置,1
123,SKC34 20.3cm連装砲,2,Medium Caliber Main Gun,SKC34 20.3cm Twin Gun Mount,SKC34 20.3cm連裝砲,1
124,FuMO25 レーダー,11,Large Radar,FuMO25 Radar,,1
125,61cm三連装(酸素)魚雷,5,Torpedo,61cm Triple (Oxygen) Torpedo Mount,61cm三連裝(酸素)魚雷,1
126,WG42 (Wurfgerät 42),31,Anti-Ground Equipment,WG42 (Wurfgerät 42),WG42 (Wurfgerät 42),1
127,試製FaT仕様九五式酸素魚雷改,5,Submarine Torpedo,Prototype FaT Type 95 Oxygen Torpedo Kai,試製FaT仕樣九五式酸素魚雷改,1
128,試製51cm連装砲,3,Large Caliber Main Gun (II),Prototype 51cm Twin Gun Mount,試製51cm連裝砲,1
129,熟練見張員,32,Surface Ship Personnel,Skilled Lookouts,熟練見張員,1
130,12.7cm高角砲+高射装置,16,Secondary Gun,12.7cm High-angle Gun + Anti-Aircraft Fire Director,12.7cm高角砲+高射裝置,1
