master_id,type_abbr,name_ja,name_en,name_tw
1501,DD,駆逐イ級,Destroyer I-Class,
1502,DD,駆逐ロ級,Destroyer Ro-Class,
1503,DD,駆逐ハ級,Destroyer Ha-Class,
1504,DD,駆逐ニ級,Destroyer Ni-Class,
1505,CL,軽巡ホ級,Light Cruiser Ho-Class,
1506,CL,軽巡ヘ級,Light Cruiser He-Class,
1507,CL,軽巡ト級,Light Cruiser To-Class,
1508,CLT,雷巡チ級,Torpedo Cruiser Chi-Class,
1509,CA,重巡リ級,Heavy Cruiser Ri-Class,
1510,CVL,軽母ヌ級,Light Carrier Nu-Class,
1511,BB,戦艦ル級,Battleship Ru-Class,
1512,CV,空母ヲ級,Standard Carrier Wo-Class,
1513,AP,輸送ワ級,Transport Ship Wa-Class,
1514,DD,駆逐イ級,Destroyer I-Class Elite,
1515,DD,駆逐ロ級,Destroyer Ro-Class Elite,
1516,DD,駆逐ハ級,Destroyer Ha-Class Elite,
1517,DD,駆逐ニ級,Destroyer Ni-Class Elite,
1518,CL,軽巡ホ級,Light Cruiser Ho-Class Elite,
1519,CL,軽巡ヘ級,Light Cruiser He-Class Elite,
1520,CL,軽巡ト級,Light Cruiser To-Class Elite,
1521,CLT,雷巡チ級,Torpedo Cruiser Chi-Class Elite,
1522,CA,重巡リ級,Heavy Cruiser Ri-Class Elite,
1523,CVL,軽母ヌ級,Light Carrier Nu-Class Elite,
1524,BB,戦艦ル級,Battleship Ru-Class Elite,
1525,CV,空母ヲ級,Standard Carrier Wo-Class Elite,
1526,AP,輸送ワ級,Transport Ship Wa-Class Elite,
1527,CA,重巡リ級,Heavy Cruiser Ri-Class Flagship,
1528,CV,空母ヲ級,Standard Carrier Wo-Class Flagship,
1529,BB,戦艦ル級,Battleship Ru-Class Flagship,
1530,SS,潜水カ級,Submarine Ka-Class,
1531,SS,潜水ヨ級,Submarine Yo-Class,
1532,SS,潜水カ級,Submarine Ka-Class Elite,
1533,SS,潜水ヨ級,Submarine Yo-Class Elite,
1534,SS,潜水カ級,Submarine Ka-Class Flagship,
1535,SS,潜水ヨ級,Submarine Yo-Class Flagship,
1536,BBV,浮遊要塞,Floating Fortress,浮遊要塞
1537,BBV,浮遊要塞,Floating Fortress II,浮遊要塞
1538,BBV,浮遊要塞,Floating Fortress III,浮遊要塞
1539,BBV,泊地棲鬼,Anchorage Demon,泊地棲鬼
1540,BBV,泊地棲姫,Anchorage Princess,泊地棲姫
1541,FBB,戦艦タ級,Battleship Ta-Class,
1542,FBB,戦艦タ級,Battleship Ta-Class Elite,
1543,FBB,戦艦タ級,Battleship Ta-Class Flagship,
1544,BBV,装甲空母鬼,Armored Carrier Demon,裝甲空母鬼
1545,BBV,装甲空母姫,Armored Carrier Princess,裝甲空母姫
1546,BBV,南方棲鬼,Southern Demon,南方棲鬼
1547,BBV,南方棲戦鬼,Southern War Demon,南方棲戰鬼
1548,BBV,南方棲戦姫,Southern War Princess,南方棲戰姫
1549,BBV,護衛要塞,Escort Fortress,護衞要塞
1550,BBV,護衛要塞,Escort Fortress II,護衞要塞
1551,BBV,護衛要塞,Escort Fortress III,護衞要塞
1552,DD,駆逐ロ級,Destroyer Ro-Class Flagship,
1553,DD,駆逐ハ級,Destroyer Ha-Class Flagship,
1554,CL,軽巡ホ級,Light Cruiser Ho-Class Flagship,
1555,CL,軽巡ヘ級,Light Cruiser He-Class Flagship,
1556,BBV,飛行場姫,Airfield Princess,飛行場姫
1557,BB,戦艦棲姫,Battleship Princess,戰艦棲姫
1558,AP,輸送ワ級,Transport Ship Wa-Class Flagship,
1559,CLT,雷巡チ級,Torpedo Cruiser Chi-Class Flagship,
1560,CVL,軽母ヌ級,Light Carrier Nu-Class Flagship,
1561,BBV,戦艦レ級,Battleship Re-Class,
1562,BBV,戦艦レ級,Battleship Re-Class Elite,
1564,DD,駆逐イ級,Destroyer I-Class Flagship,
1565,CV,空母ヲ級改,Standard Carrier Wo-Class Kai Flagship,
1566,CA,重巡リ級改,Heavy Cruiser Ri-Class Kai Flagship,
1567,BB,戦艦ル級改,Battleship Ru-Class Kai Flagship,
1570,SS,潜水ソ級,Submarine So-Class,
1571,SS,潜水ソ級,Submarine So-Class Elite,
1572,SS,潜水ソ級,Submarine So-Class Flagship,
1573,BBV,港湾棲姫,Harbour Princess,港灣棲姫
1574,BBV,離島棲鬼,Isolated Island Demon,離島棲鬼
1575,DD,駆逐イ級後期型,Destroyer I-Class Late Model,
1576,DD,駆逐ロ級後期型,Destroyer Ro-Class Late Model,
1577,DD,駆逐ハ級後期型,Destroyer Ha-Class Late Model,
1578,DD,駆逐ニ級後期型,Destroyer Ni-Class Late Model,
1579,CV,空母ヲ級,Standard Carrier Wo-Class Flagship II,
1581,BBV,北方棲姫,Northern Princess,北方棲姫
1582,BBV,北方棲姫,Northern Princess II,北方棲姫
1583,BBV,中間棲姫,Midway Princess,中間棲姫
1584,BBV,中間棲姫,Midway Princess II,中間棲姫
1585,CV,空母棲鬼,Aircraft Carrier Demon,空母棲鬼
1586,CV,空母棲姫,Aircraft Carrier Princess,空母棲姫
1587,BBV,北方棲姫,Northern Princess III,北方棲姫
1588,BBV,北方棲姫,Northern Princess IV,北方棲姫
1589,BBV,北方棲姫,Northern Princess V,北方棲姫
1590,BBV,北方棲姫,Northern Princess VI,北方棲姫
1591,CL,軽巡ツ級,Light Cruiser Tsu-Class,
1592,CL,軽巡ツ級,Light Cruiser Tsu-Class Elite,
1594,CA,重巡ネ級,Heavy Cruiser Ne-Class,
1595,CA,重巡ネ級,Heavy Cruiser Ne-Class Elite,
1597,DD,駆逐棲姫,Destroyer Princess,驅逐棲姫
1598,DD,駆逐棲姫,Destroyer Princess II,驅逐棲姫
1599,CV,空母水鬼,Aircraft Carrier Water Demon,空母水鬼
1600,CV,空母水鬼,Aircraft Carrier Water Demon II,空母水鬼
1601,CL,軽巡棲鬼,Light Cruiser Demon,輕巡棲鬼
1602,CL,軽巡棲鬼,Light Cruiser Demon II,輕巡棲鬼
1603,BB,戦艦水鬼,Battleship Water Demon,戰艦水鬼
1604,BB,戦艦水鬼,Battleship Water Demon II,戰艦水鬼
1605,BBV,港湾水鬼,Harbour Water Demon,港灣水鬼
1606,BBV,港湾水鬼,Harbour Water Demon II,港灣水鬼
1607,BBV,港湾水鬼,Harbour Water Demon III,港灣水鬼
1608,BBV,港湾水鬼,Harbour Water Demon IV,港灣水鬼
1609,BBV,泊地水鬼,Anchorage Water Demon,泊地水鬼
1610,BBV,泊地水鬼,Anchorage Water Demon II,泊地水鬼
1611,BBV,泊地水鬼,Anchorage Water Demon III,泊地水鬼
1612,BBV,泊地水鬼,Anchorage Water Demon IV,泊地水鬼
1613,BBV,港湾棲姫,Harbour Princess II,港灣棲姫
1614,CV,空母ヲ級,Standard Carrier Wo-Class Flagship III,
1615,CV,空母ヲ級,Standard Carrier Wo-Class Flagship IV,
1616,CV,空母ヲ級改,Standard Carrier Wo-Class Kai Flagship II,
1617,CV,空母ヲ級改,Standard Carrier Wo-Class Kai Flagship III,
1618,CV,空母ヲ級改,Standard Carrier Wo-Class Kai Flagship IV,
1619,CV,空母棲鬼,Aircraft Carrier Demon II,空母棲鬼
1620,CV,空母棲姫,Aircraft Carrier Princess II,空母棲姫
1621,DD,駆逐イ級後期型,Destroyer I-Class Late Model Elite,
1622,DD,駆逐ロ級後期型,Destroyer Ro-Class Late Model Elite,
1623,DD,駆逐ハ級後期型,Destroyer Ha-Class Late Model Elite,
1624,DD,駆逐ニ級後期型,Destroyer Ni-Class Late Model Elite,
1625,AV,水母棲姫,Seaplane Tender Princess,水母棲姫
1626,AV,水母棲姫,Seaplane Tender Princess II,水母棲姫
1627,AV,水母棲姫,Seaplane Tender Princess III,水母棲姫
1628,DD,防空棲姫,Air Defense Princess,防空棲姫
1629,DD,防空棲姫,Air Defense Princess II,防空棲姫
1630,DD,防空棲姫,Air Defense Princess III,防空棲姫
1631,BBV,飛行場姫,Airfield Princess II,飛行場姫
1632,BBV,飛行場姫,Airfield Princess III,飛行場姫
1633,BBV,飛行場姫,Airfield Princess IV,飛行場姫
1634,BBV,離島棲鬼,Isolated Island Demon II,離島棲鬼
1635,BBV,離島棲鬼,Isolated Island Demon III,離島棲鬼
1636,BBV,離島棲鬼,Isolated Island Demon IV,離島棲鬼
1637,DD,PT小鬼群,PT Imp Pack,PT小鬼群
1638,DD,PT小鬼群,PT Imp Pack II,PT小鬼群
1639,DD,PT小鬼群,PT Imp Pack III,PT小鬼群
1640,DD,PT小鬼群,PT Imp Pack IV,PT小鬼群
1641,CL,軽巡棲姫,Light Cruiser Princess,輕巡棲姫
1642,CL,軽巡棲姫,Light Cruiser Princess II,輕巡棲姫
1643,CL,軽巡棲姫,Light Cruiser Princess III,輕巡棲姫
1644,SS,潜水棲姫,Submarine Princess,潛水棲姫
1645,SS,潜水棲姫,Submarine Princess II,潛水棲姫
1646,SS,潜水棲姫,Submarine Princess III,潛水棲姫
1647,DD,駆逐水鬼,Destroyer Water Demon,驅逐水鬼
1648,DD,駆逐水鬼,Destroyer Water Demon II,驅逐水鬼
1649,DD,駆逐水鬼,Destroyer Water Demon III,驅逐水鬼
1650,BBV,飛行場姫,Airfield Princess V,飛行場姫
1651,BBV,飛行場姫,Airfield Princess VI,飛行場姫
1652,BBV,飛行場姫,Airfield Princess VII,飛行場姫
1653,BBV,集積地棲姫,Supply Depot Princess,集積地棲姫
1654,BBV,集積地棲姫,Supply Depot Princess II,集積地棲姫
1655,BBV,集積地棲姫,Supply Depot Princess III,集積地棲姫
1656,BBV,集積地棲姫-壊,Supply Depot Princess Damaged,集積地棲姫-壞
1657,BBV,集積地棲姫-壊,Supply Depot Princess Damaged II,集積地棲姫-壞
1658,BBV,集積地棲姫-壊,Supply Depot Princess Damaged III,集積地棲姫-壞
1659,CA,重巡棲姫,Heavy Cruiser Princess,重巡棲姫
1660,CA,重巡棲姫,Heavy Cruiser Princess II,重巡棲姫
1661,CA,重巡棲姫,Heavy Cruiser Princess III,重巡棲姫
1662,CA,重巡棲姫,Heavy Cruiser Princess IV,重巡棲姫
1663,CA,重巡棲姫,Heavy Cruiser Princess V,重巡棲姫
1664,CA,重巡棲姫,Heavy Cruiser Princess VI,重巡棲姫
1665,BB,砲台小鬼,Artillery Imp,砲臺小鬼
1666,BB,砲台小鬼,Artillery Imp II,砲臺小鬼
1667,BB,砲台小鬼,Artillery Imp III,砲臺小鬼
1668,CV,離島棲姫,Isolated Island Princess,離島棲姫
1669,CV,離島棲姫,Isolated Island Princess II,離島棲姫
1670,CV,離島棲姫,Isolated Island Princess III,離島棲姫
1671,BBV,離島棲姫,Isolated Island Princess IV,離島棲姫
1672,BB,離島棲姫,Isolated Island Princess V,離島棲姫
1673,DD,駆逐古鬼,Ancient Destroyer Demon,驅逐古鬼
1674,DD,駆逐古鬼,Ancient Destroyer Demon II,驅逐古鬼
1675,DD,駆逐古鬼,Ancient Destroyer Demon III,驅逐古鬼
1676,DD,駆逐水鬼,Destroyer Water Demon IV,驅逐水鬼
1677,DD,駆逐水鬼,Destroyer Water Demon V,驅逐水鬼
1678,DD,駆逐水鬼,Destroyer Water Demon VI,驅逐水鬼
1679,CV,リコリス棲姫,Lycoris Princess,
1680,CV,リコリス棲姫,Lycoris Princess II,
1681,CV,リコリス棲姫,Lycoris Princess III,
1682,CV,リコリス棲姫,Lycoris Princess IV,
1683,CV,リコリス棲姫,Lycoris Princess V,
1684,BB,中枢棲姫,Central Princess,中樞棲姫
1685,BB,中枢棲姫,Central Princess II,中樞棲姫
1686,BB,中枢棲姫,Central Princess III,中樞棲姫
1687,BB,中枢棲姫-壊,Central Princess Damaged,中樞棲姫-壞
1688,BB,中枢棲姫-壊,Central Princess Damaged II,中樞棲姫-壞
1689,BB,中枢棲姫-壊,Central Princess Damaged III,中樞棲姫-壞
1690,DD,駆逐古姫,Ancient Destroyer Princess,驅逐古姫
1691,DD,駆逐古姫,Ancient Destroyer Princess II,驅逐古姫
1692,DD,駆逐古姫,Ancient Destroyer Princess III,驅逐古姫
1693,SS,潜水夏姫,Submarine Summer Princess Flagship,潛水夏姫
1694,SS,潜水夏姫,Submarine Summer Princess Flagship II,潛水夏姫
1695,SS,潜水夏姫,Submarine Summer Princess Flagship III,潛水夏姫
1696,BB,戦艦夏姫,Battleship Summer Princess,戰艦夏姫
1697,BB,戦艦夏姫,Battleship Summer Princess II,戰艦夏姫
1698,BB,戦艦夏姫,Battleship Summer Princess III,戰艦夏姫
1699,BBV,港湾夏姫,Harbour Summer Princess,港灣夏姫
1700,BBV,港湾夏姫,Harbour Summer Princess II,港灣夏姫
1701,BBV,港湾夏姫,Harbour Summer Princess III,港灣夏姫
1702,BBV,港湾夏姫-壊,Harbour Summer Princess Damaged,港灣夏姫-壞
1703,BBV,港湾夏姫-壊,Harbour Summer Princess Damaged II,港灣夏姫-壞
1704,BBV,港湾夏姫-壊,Harbour Summer Princess Damaged III,港灣夏姫-壞
1705,CA,重巡夏姫,Heavy Cruiser Summer Princess,重巡夏姫
1706,CA,重巡夏姫,Heavy Cruiser Summer Princess II,重巡夏姫
1707,CA,重巡夏姫,Heavy Cruiser Summer Princess III,重巡夏姫
1708,AV,水母水姫,Seaplane Tender Water Princess,水母水姫
1709,AV,水母水姫,Seaplane Tender Water Princess II,水母水姫
1710,AV,水母水姫,Seaplane Tender Water Princess III,水母水姫
1711,CV,深海海月姫,Abyssal Jellyfish Princess,深海海月姫
1712,CV,深海海月姫,Abyssal Jellyfish Princess II,深海海月姫
1713,CV,深海海月姫,Abyssal Jellyfish Princess III,深海海月姫
1714,CV,空母ヲ級改,Standard Carrier Wo-Class Kai Flagship V,
1715,CV,空母ヲ級改,Standard Carrier Wo-Class Kai Flagship VI,
1716,BBV,深海双子棲姫,Abyssal Twin Princesses,深海雙子棲姫
1717,BBV,深海双子棲姫,Abyssal Twin Princesses II,深海雙子棲姫
1718,BBV,深海双子棲姫,Abyssal Twin Princesses III,深海雙子棲姫
1719,BBV,深海双子棲姫-壊,Abyssal Twin Princesses Damaged,深海雙子棲姫-壞
1720,BBV,深海双子棲姫-壊,Abyssal Twin Princesses Damaged II,深海雙子棲姫-壞
1721,BBV,深海双子棲姫-壊,Abyssal Twin Princesses Damaged III,深海雙子棲姫-壞
1722,CVL,護衛棲姫,Escort Princess,護衞棲姫
1723,CVL,護衛棲姫,Escort Princess II,護衞棲姫
1724,CVL,護衛棲姫,Escort Princess III,護衞棲姫
1725,BBV,北端上陸姫,Northernmost Landing Princess,北端上陸姫
1726,BBV,北端上陸姫,Northernmost Landing Princess II,北端上陸姫
1727,BBV,北端上陸姫,Northernmost Landing Princess III,北端上陸姫
1728,BBV,北方水姫,Northern Water Princess,北方水姫
1729,BBV,北方水姫,Northern Water Princess II,北方水姫
1730,BBV,北方水姫,Northern Water Princess III,北方水姫
