line_id,dex,stage,master_id,name_ja,yomi_ja,stype_ja,wiki_class,wiki_type_abbr,name_en,name_tw
80,1,0,80,長門,ながと,戦艦,Nagato #1,BB,Nagato,長門
80,1,1,275,長門改,ながと,戦艦,Nagato #1,BB,Nagato Kai,長門改
80,1,2,541,長門改二,ながと,戦艦,Nagato #1,BB,Nagato Kai Ni,長門改二
81,2,0,81,陸奥,むつ,戦艦,Nagato #2,BB,Mutsu,陸奧
81,2,1,276,陸奥改,むつ,戦艦,Nagato #2,BB,Mutsu Kai,陸奧改
81,2,2,573,陸奥改二,むつ,戦艦,Nagato #2,BB,Mutsu Kai Ni,陸奧改二
77,3,0,77,伊勢,いせ,戦艦,Ise #1,BB,Ise,伊勢
77,3,1,82,伊勢改,いせ,航空戦艦,Ise #1,BBV,Ise Kai,伊勢改
77,3,2,553,伊勢改二,いせ,航空戦艦,Ise #1,BBV,Ise Kai Ni,伊勢改二
87,4,0,87,日向,ひゅうが,戦艦,Ise #2,BB,Hyuuga,日向
87,4,1,88,日向改,ひゅうが,航空戦艦,Ise #2,BBV,Hyuuga Kai,日向改
87,4,2,554,日向改二,ひゅうが,航空戦艦,Ise #2,BBV,Hyuuga Kai Ni,日向改二
20,5,0,20,雪風,ゆきかぜ,駆逐艦,Kagerou #8,DD,Yukikaze,雪風
20,5,1,228,雪風改,ゆきかぜ,駆逐艦,Kagerou #8,DD,Yukikaze Kai,雪風改
20,5,2,651,丹陽,ゆきかぜ,駆逐艦,Kagerou #8,DD,Dan Yang,丹陽
20,5,3,656,雪風改二,ゆきかぜ,駆逐艦,Kagerou #8,DD,Yukikaze Kai Ni,雪風改二
83,6,0,83,赤城,あかぎ,正規空母,Akagi #1,CV,Akagi,赤城
83,6,1,277,赤城改,あかぎ,正規空母,Akagi #1,CV,Akagi Kai,赤城改
83,6,2,594,赤城改二,あかぎ,正規空母,Akagi #1,CV,Akagi Kai Ni,赤城改二
83,6,3,599,赤城改二戊,あかぎ,正規空母,Akagi #1,CV,Akagi Kai Ni E,赤城改二戊
84,7,0,84,加賀,かが,正規空母,Kaga #1,CV,Kaga,加賀
